Country,Latitude,Longitude,Arrival
AUSTRALIA,-25.274398,133.775136,1289475
BANGLADESH,23.684994,90.356331,549978
BELGIUM,50.503887,4.469936,71831
BRUNEI,4.535277,114.727669,3848537
CAMBODIA,12.565679,104.990963,316458
CANADA,56.130366,-106.346771,292012
CHINA,35.86166,104.195397,8157957
DENMARK,56.26392,9.501785,75925
EGYPT,26.820553,30.802498,96496
FRANCE,46.227638,2.213749,480381
GERMANY,51.165691,10.451526,471165
INDIA,20.593684,78.96288,2491813
INDONESIA,-0.789275,113.921327,12213618
IRAN,32.427908,53.688046,148523
IRAQ,33.223191,43.679291,66362
IRELAND,53.41291,-8.24389,70121
ITALY,41.87194,12.56738,183342
JAPAN,36.204824,138.252924,1209932
KAZAKHSTAN,48.019573,66.923684,49339
LAOS,19.85627,102.495496,80377
MYANMAR,21.913965,95.956223,217955
NEPAL,28.394857,84.124008,75483
NETHERLANDS,52.132633,5.291266,278231
NEW ZEALAND,-40.900557,174.885971,171021
NORWAY,60.472024,8.468946,48416
PAKISTAN,30.375321,69.345116,368227
PHILIPPINES,12.879721,121.774017,1385062
POLAND,51.919438,19.145136,89041
RUSSIA,61.52401,105.318756,324554
SAUDI ARABIA,23.885942,45.079162,345139
SINGAPORE,1.352083,103.819836,35872652
SOUTH AFRICA,-30.559482,22.937506,71787
SOUTH KOREA,35.907757,127.766922,1959863
SPAIN,40.463667,-3.74922,153633
SRI LANKA,7.873054,80.771797,142917
SWEDEN,60.128161,18.643501,97891
SWITZERLAND,46.818188,8.227512,90597
TAIWAN,23.69781,120.960515,1159003
THAILAND,15.870032,100.992541,6519828
TURKEY,38.963745,35.243322,58578
UKRAINE,48.379433,31.16558,52682
UNITED ARAB EMIRATES,23.424076,53.847818,32432
UNITED KINGDOM,55.378051,-3.435973,1181328
UNITED STATES OF AMERICA,37.09024,-95.712891,911769
VIETNAM,14.058324,108.277199,1358815
