Year,Country,Arrival,Rank,FlagURL,Abbr
2018,SINGAPORE,10615986,1,https://flagcdn.com/w40/sg.png,SGP
2018,INDONESIA,3277689,2,https://flagcdn.com/w40/id.png,IDN
2018,CHINA,2944133,3,https://flagcdn.com/w40/cn.png,CHN
2018,THAILAND,1914692,4,https://flagcdn.com/w40/th.png,THA
2018,BRUNEI,1382031,5,https://flagcdn.com/w40/bn.png,BRN
2018,SOUTH KOREA,616783,6,https://flagcdn.com/w40/kr.png,KOR
2018,INDIA,600311,7,https://flagcdn.com/w40/in.png,IND
2018,PHILIPPINES,396062,8,https://flagcdn.com/w40/ph.png,PHL
2018,VIETNAM,375578,9,https://flagcdn.com/w40/vn.png,VNM
2018,AUSTRALIA,351500,10,https://flagcdn.com/w40/au.png,AUS
2019,SINGAPORE,10163882,1,https://flagcdn.com/w40/sg.png,SGP
2019,INDONESIA,3623277,2,https://flagcdn.com/w40/id.png,IDN
2019,CHINA,3114257,3,https://flagcdn.com/w40/cn.png,CHN
2019,THAILAND,1884306,4,https://flagcdn.com/w40/th.png,THA
2019,BRUNEI,1216123,5,https://flagcdn.com/w40/bn.png,BRN
2019,INDIA,735309,6,https://flagcdn.com/w40/in.png,IND
2019,SOUTH KOREA,673065,7,https://flagcdn.com/w40/kr.png,KOR
2019,PHILIPPINES,421908,8,https://flagcdn.com/w40/ph.png,PHL
2019,VIETNAM,400346,9,https://flagcdn.com/w40/vn.png,VNM
2019,AUSTRALIA,368271,10,https://flagcdn.com/w40/au.png,AUS
2020,SINGAPORE,1545255,1,https://flagcdn.com/w40/sg.png,SGP
2020,INDONESIA,711723,2,https://flagcdn.com/w40/id.png,IDN
2020,CHINA,405149,3,https://flagcdn.com/w40/cn.png,CHN
2020,THAILAND,394413,4,https://flagcdn.com/w40/th.png,THA
2020,INDIA,155883,5,https://flagcdn.com/w40/in.png,IND
2020,BRUNEI,136020,6,https://flagcdn.com/w40/bn.png,BRN
2020,SOUTH KOREA,119750,7,https://flagcdn.com/w40/kr.png,KOR
2020,AUSTRALIA,72680,8,https://flagcdn.com/w40/au.png,AUS
2020,PHILIPPINES,66051,9,https://flagcdn.com/w40/ph.png,PHL
2020,VIETNAM,64184,10,https://flagcdn.com/w40/vn.png,VNM
2021,THAILAND,59607,1,https://flagcdn.com/w40/th.png,THA
2021,SINGAPORE,16308,2,https://flagcdn.com/w40/sg.png,SGP
2021,INDONESIA,11025,3,https://flagcdn.com/w40/id.png,IDN
2021,CHINA,7701,4,https://flagcdn.com/w40/cn.png,CHN
2021,INDIA,3916,5,https://flagcdn.com/w40/in.png,IND
2021,SOUTH KOREA,3028,6,https://flagcdn.com/w40/kr.png,KOR
2021,PHILIPPINES,2317,7,https://flagcdn.com/w40/ph.png,PHL
2021,AUSTRALIA,1321,8,https://flagcdn.com/w40/au.png,AUS
2021,BRUNEI,773,9,https://flagcdn.com/w40/bn.png,BRN
2021,VIETNAM,583,10,https://flagcdn.com/w40/vn.png,VNM
2022,SINGAPORE,5222991,1,https://flagcdn.com/w40/sg.png,SGP
2022,INDONESIA,1481739,2,https://flagcdn.com/w40/id.png,IDN
2022,THAILAND,715528,3,https://flagcdn.com/w40/th.png,THA
2022,INDIA,324548,4,https://flagcdn.com/w40/in.png,IND
2022,BRUNEI,301757,5,https://flagcdn.com/w40/bn.png,BRN
2022,CHINA,212603,6,https://flagcdn.com/w40/cn.png,CHN
2022,VIETNAM,173763,7,https://flagcdn.com/w40/vn.png,VNM
2022,PHILIPPINES,159442,8,https://flagcdn.com/w40/ph.png,PHL
2022,AUSTRALIA,152265,9,https://flagcdn.com/w40/au.png,AUS
2022,SOUTH KOREA,146384,10,https://flagcdn.com/w40/kr.png,KOR
2023,SINGAPORE,8308230,1,https://flagcdn.com/w40/sg.png,SGP
2023,INDONESIA,3108165,2,https://flagcdn.com/w40/id.png,IDN
2023,THAILAND,1551282,3,https://flagcdn.com/w40/th.png,THA
2023,CHINA,1474114,4,https://flagcdn.com/w40/cn.png,CHN
2023,BRUNEI,811833,5,https://flagcdn.com/w40/bn.png,BRN
2023,INDIA,671846,6,https://flagcdn.com/w40/in.png,IND
2023,SOUTH KOREA,400853,7,https://flagcdn.com/w40/kr.png,KOR
2023,VIETNAM,344361,8,https://flagcdn.com/w40/vn.png,VNM
2023,AUSTRALIA,343438,9,https://flagcdn.com/w40/au.png,AUS
2023,PHILIPPINES,339282,10,https://flagcdn.com/w40/ph.png,PHL
